Time: 8.001, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1047, HARQErrorRate: 0
Time: 8.002, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 127, SumTotal: 5, CountTotal: 1035, HARQErrorRate: 0
Time: 8.003, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 898, HARQErrorRate: 0
Time: 8.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 103, SumTotal: 5, CountTotal: 829, HARQErrorRate: 0
Time: 8.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 819, HARQErrorRate: 0
Time: 9, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 1439, HARQErrorRate: 0
Time: 9.001, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1177, HARQErrorRate: 0
Time: 9.002, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1165, HARQErrorRate: 0
Time: 9.003, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1008, HARQErrorRate: 0
Time: 9.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 929, HARQErrorRate: 0
Time: 9.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 919, HARQErrorRate: 0
Time: 10, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 1599, HARQErrorRate: 0
Time: 10.001, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1307, HARQErrorRate: 0
Time: 10.002, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1295, HARQErrorRate: 0
Time: 10.003, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1118, HARQErrorRate: 0
Time: 10.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1029, HARQErrorRate: 0
Time: 10.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1019, HARQErrorRate: 0
Time: 11, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 1759, HARQErrorRate: 0
Time: 11.001, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1437, HARQErrorRate: 0
Time: 11.002, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1425, HARQErrorRate: 0
Time: 11.003, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1228, HARQErrorRate: 0
Time: 11.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1129, HARQErrorRate: 0
Time: 11.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1119, HARQErrorRate: 0
Time: 12, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1567, HARQErrorRate: 0
Time: 12.001, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 5, CountTotal: 1550, HARQErrorRate: 0
Time: 12.002, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1338, HARQErrorRate: 0
Time: 12.003, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 104, SumTotal: 5, CountTotal: 1233, HARQErrorRate: 0
Time: 12.004, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1219, HARQErrorRate: 0
Time: 12.005, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 161, SumTotal: 6, CountTotal: 1920, HARQErrorRate: 0
Time: 13, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1697, HARQErrorRate: 0
Time: 13.001, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1680, HARQErrorRate: 0
Time: 13.002, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1448, HARQErrorRate: 0
Time: 13.003, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1333, HARQErrorRate: 0
Time: 13.004, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1319, HARQErrorRate: 0
Time: 13.005, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2080, HARQErrorRate: 0
Time: 14, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1827, HARQErrorRate: 0
Time: 14.001, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1810, HARQErrorRate: 0
Time: 14.002, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1558, HARQErrorRate: 0
Time: 14.003, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1433, HARQErrorRate: 0
Time: 14.004, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1419, HARQErrorRate: 0
Time: 14.005, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2240, HARQErrorRate: 0
Time: 15, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1957, HARQErrorRate: 0
Time: 15.001, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 1940, HARQErrorRate: 0
Time: 15.002, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1668, HARQErrorRate: 0
Time: 15.003, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1533, HARQErrorRate: 0
Time: 15.004, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1519, HARQErrorRate: 0
Time: 15.005, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2400, HARQErrorRate: 0
Time: 16, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 109, SumTotal: 3, CountTotal: 1777, HARQErrorRate: 0
Time: 16.001, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 104, SumTotal: 5, CountTotal: 1637, HARQErrorRate: 0
Time: 16.002, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1619, HARQErrorRate: 0
Time: 16.003, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2560, HARQErrorRate: 0
Time: 16.004, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 131, SumTotal: 5, CountTotal: 2088, HARQErrorRate: 0
Time: 16.005, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 126, SumTotal: 5, CountTotal: 2066, HARQErrorRate: 0
Time: 17, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1887, HARQErrorRate: 0
Time: 17.001, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1737, HARQErrorRate: 0
Time: 17.002, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1719, HARQErrorRate: 0
Time: 17.003, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2720, HARQErrorRate: 0
Time: 17.004, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2218, HARQErrorRate: 0
Time: 17.005, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2196, HARQErrorRate: 0
Time: 18, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 1997, HARQErrorRate: 0
Time: 18.001, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1837, HARQErrorRate: 0
Time: 18.002, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1819, HARQErrorRate: 0
