Time: 6.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 463, HARQErrorRate: 0
Time: 6.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 466, HARQErrorRate: 0
Time: 6.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 457, HARQErrorRate: 0
Time: 6.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 69, SumTotal: 0, CountTotal: 464, HARQErrorRate: 0
Time: 6.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 470, HARQErrorRate: 0
Time: 7, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 69, SumTotal: 0, CountTotal: 542, HARQErrorRate: 0
Time: 7.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 544, HARQErrorRate: 0
Time: 7.011, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 82, SumTotal: 0, CountTotal: 545, HARQErrorRate: 0
Time: 7.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 553, HARQErrorRate: 0
Time: 7.014, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 82, SumTotal: 0, CountTotal: 546, HARQErrorRate: 0
Time: 7.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 544, HARQErrorRate: 0
Time: 7.017, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 545, HARQErrorRate: 0
Time: 7.018, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 78, SumTotal: 0, CountTotal: 549, HARQErrorRate: 0
Time: 8, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 84, SumTotal: 0, CountTotal: 626, HARQErrorRate: 0
Time: 8.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 620, HARQErrorRate: 0
Time: 8.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 619, HARQErrorRate: 0
Time: 8.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 615, HARQErrorRate: 0
Time: 8.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 627, HARQErrorRate: 0
Time: 8.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 623, HARQErrorRate: 0
Time: 8.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 83, SumTotal: 0, CountTotal: 629, HARQErrorRate: 0
Time: 8.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 631, HARQErrorRate: 0
Time: 9.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 692, HARQErrorRate: 0
Time: 9.009, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 707, HARQErrorRate: 0
Time: 9.01, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 706, HARQErrorRate: 0
Time: 9.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 73, SumTotal: 0, CountTotal: 700, HARQErrorRate: 0
Time: 9.013, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 694, HARQErrorRate: 0
Time: 9.014, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 704, HARQErrorRate: 0
Time: 9.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 708, HARQErrorRate: 0
Time: 9.016, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 83, SumTotal: 0, CountTotal: 709, HARQErrorRate: 0
Time: 10, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 73, SumTotal: 0, CountTotal: 782, HARQErrorRate: 0
Time: 10.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 782, HARQErrorRate: 0
Time: 10.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 785, HARQErrorRate: 0
Time: 10.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 778, HARQErrorRate: 0
Time: 10.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 786, HARQErrorRate: 0
Time: 10.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 774, HARQErrorRate: 0
Time: 10.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 778, HARQErrorRate: 0
Time: 10.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 778, HARQErrorRate: 0
Time: 11.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 857, HARQErrorRate: 0
Time: 11.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 850, HARQErrorRate: 0
Time: 11.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 865, HARQErrorRate: 0
Time: 11.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 859, HARQErrorRate: 0
Time: 11.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 864, HARQErrorRate: 0
Time: 11.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 84, SumTotal: 0, CountTotal: 862, HARQErrorRate: 0
Time: 11.008, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 76, SumTotal: 0, CountTotal: 858, HARQErrorRate: 0
Time: 11.009, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 852, HARQErrorRate: 0
